penalty,.iter,.metric,.estimator,mean,n,std_err,.config,model
0.03345873496132379,0,recall,binary,0.7495791171884588,15,0.019699200957266214,Model22,lasso-glove
0.03345873496132379,0,roc_auc,binary,0.9226518689579287,15,0.004111496461205489,Model22,lasso-glove
0.13509102362740236,0,bal_accuracy,binary,0.7808425775971151,15,0.012583297726269151,Model23,lasso-glove
0.13509102362740236,0,f_meas,binary,0.44542928903555157,15,0.014622139556311512,Model23,lasso-glove
0.13509102362740236,0,kap,binary,0.386419921434631,15,0.015269734686866062,Model23,lasso-glove
0.13509102362740236,0,npv,binary,0.9714576810027883,15,0.0022157675725586103,Model23,lasso-glove
0.13509102362740236,0,ppv,binary,0.3372566378947891,15,0.012094735249926434,Model23,lasso-glove
0.13509102362740236,0,precision,binary,0.3372566378947891,15,0.01209473524992643,Model23,lasso-glove
0.13509102362740236,0,recall,binary,0.6644696392160754,15,0.02630743870349303,Model23,lasso-glove
0.13509102362740236,0,roc_auc,binary,0.9087250147868033,15,0.006233823806123563,Model23,lasso-glove
0.2310908932952185,0,bal_accuracy,binary,0.7537226423094376,15,0.012719462099080866,Model24,lasso-glove
0.2310908932952185,0,f_meas,binary,0.43960071990028665,15,0.015405148000471798,Model24,lasso-glove
0.2310908932952185,0,kap,binary,0.3837136144664477,15,0.015838797232612174,Model24,lasso-glove
0.2310908932952185,0,npv,binary,0.9663441230790059,15,0.0022014004234048364,Model24,lasso-glove
0.2310908932952185,0,ppv,binary,0.35278631986678116,15,0.012984744688373682,Model24,lasso-glove
0.2310908932952185,0,precision,binary,0.35278631986678116,15,0.012984744688373682,Model24,lasso-glove
0.2310908932952185,0,recall,binary,0.5933710067381275,15,0.027528687587790288,Model24,lasso-glove
0.2310908932952185,0,roc_auc,binary,0.9086268199390403,15,0.006179944740606613,Model24,lasso-glove
0.5980967236997543,0,bal_accuracy,binary,0.5,15,0,Model25,lasso-glove
0.5980967236997543,0,f_meas,binary,0.1353911169646019,10,0.005043461593595616,Model25,lasso-glove
0.5980967236997543,0,kap,binary,0,15,0,Model25,lasso-glove
0.5980967236997543,0,npv,binary,0.9257903494176373,5,0.003993344425956759,Model25,lasso-glove
0.5980967236997543,0,ppv,binary,0.07268091387001731,10,0.0028720681064545073,Model25,lasso-glove
0.5980967236997543,0,precision,binary,0.07268091387001731,10,0.0028720681064545073,Model25,lasso-glove
0.5980967236997543,0,recall,binary,0.6666666666666666,15,0.12598815766974242,Model25,lasso-glove
0.5980967236997543,0,roc_auc,binary,0.5,15,0,Model25,lasso-glove
1.0000495327139077e-10,1,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model1,lasso-glove
1.0000495327139077e-10,1,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model1,lasso-glove
1.0000495327139077e-10,1,kap,binary,0.46282421331226387,15,0.013811207890606482,Model1,lasso-glove
1.0000495327139077e-10,1,npv,binary,0.9817492527861901,15,0.001462468678628198,Model1,lasso-glove
1.0000495327139077e-10,1,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model1,lasso-glove
1.0000495327139077e-10,1,precision,binary,0.3847521233943738,15,0.012742691844674905,Model1,lasso-glove
1.0000495327139077e-10,1,recall,binary,0.7879786851531605,15,0.015279365697906205,Model1,lasso-glove
1.0000495327139077e-10,1,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model1,lasso-glove
1.4960643695586063e-10,11,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model1,lasso-glove
1.4960643695586063e-10,11,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model1,lasso-glove
1.4960643695586063e-10,11,kap,binary,0.46282421331226387,15,0.013811207890606482,Model1,lasso-glove
1.4960643695586063e-10,11,npv,binary,0.9817492527861901,15,0.001462468678628198,Model1,lasso-glove
1.4960643695586063e-10,11,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model1,lasso-glove
1.4960643695586063e-10,11,precision,binary,0.3847521233943738,15,0.012742691844674905,Model1,lasso-glove
1.4960643695586063e-10,11,recall,binary,0.7879786851531605,15,0.015279365697906205,Model1,lasso-glove
1.4960643695586063e-10,11,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model1,lasso-glove
1.594792297572485e-9,7,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model1,lasso-glove
1.594792297572485e-9,7,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model1,lasso-glove
1.594792297572485e-9,7,kap,binary,0.46282421331226387,15,0.013811207890606482,Model1,lasso-glove
1.594792297572485e-9,7,npv,binary,0.9817492527861901,15,0.001462468678628198,Model1,lasso-glove
1.594792297572485e-9,7,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model1,lasso-glove
1.594792297572485e-9,7,precision,binary,0.3847521233943738,15,0.012742691844674905,Model1,lasso-glove
1.594792297572485e-9,7,recall,binary,0.7879786851531605,15,0.015279365697906205,Model1,lasso-glove
1.594792297572485e-9,7,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model1,lasso-glove
9.772570615539774e-9,9,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model1,lasso-glove
9.772570615539774e-9,9,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model1,lasso-glove
9.772570615539774e-9,9,kap,binary,0.46282421331226387,15,0.013811207890606482,Model1,lasso-glove
9.772570615539774e-9,9,npv,binary,0.9817492527861901,15,0.001462468678628198,Model1,lasso-glove
9.772570615539774e-9,9,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model1,lasso-glove
9.772570615539774e-9,9,precision,binary,0.3847521233943738,15,0.012742691844674905,Model1,lasso-glove
9.772570615539774e-9,9,recall,binary,0.7879786851531605,15,0.015279365697906205,Model1,lasso-glove
9.772570615539774e-9,9,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model1,lasso-glove
6.401617420622757e-8,8,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model1,lasso-glove
6.401617420622757e-8,8,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model1,lasso-glove
6.401617420622757e-8,8,kap,binary,0.46282421331226387,15,0.013811207890606482,Model1,lasso-glove
6.401617420622757e-8,8,npv,binary,0.9817492527861901,15,0.001462468678628198,Model1,lasso-glove
6.401617420622757e-8,8,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model1,lasso-glove
6.401617420622757e-8,8,precision,binary,0.3847521233943738,15,0.012742691844674905,Model1,lasso-glove
6.401617420622757e-8,8,recall,binary,0.7879786851531605,15,0.015279365697906205,Model1,lasso-glove
6.401617420622757e-8,8,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model1,lasso-glove
1.0020664090123831e-6,3,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model1,lasso-glove
1.0020664090123831e-6,3,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model1,lasso-glove
1.0020664090123831e-6,3,kap,binary,0.46282421331226387,15,0.013811207890606482,Model1,lasso-glove
1.0020664090123831e-6,3,npv,binary,0.9817492527861901,15,0.001462468678628198,Model1,lasso-glove
1.0020664090123831e-6,3,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model1,lasso-glove
1.0020664090123831e-6,3,precision,binary,0.3847521233943738,15,0.012742691844674905,Model1,lasso-glove
1.0020664090123831e-6,3,recall,binary,0.7879786851531605,15,0.015279365697906205,Model1,lasso-glove
1.0020664090123831e-6,3,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model1,lasso-glove
3.458627946924844e-6,10,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model1,lasso-glove
3.458627946924844e-6,10,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model1,lasso-glove
3.458627946924844e-6,10,kap,binary,0.46282421331226387,15,0.013811207890606482,Model1,lasso-glove
3.458627946924844e-6,10,npv,binary,0.9817492527861901,15,0.001462468678628198,Model1,lasso-glove
3.458627946924844e-6,10,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model1,lasso-glove
3.458627946924844e-6,10,precision,binary,0.3847521233943738,15,0.012742691844674905,Model1,lasso-glove
3.458627946924844e-6,10,recall,binary,0.7879786851531605,15,0.015279365697906205,Model1,lasso-glove
3.458627946924844e-6,10,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model1,lasso-glove
2.7524171220195553e-5,14,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model1,lasso-glove
2.7524171220195553e-5,14,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model1,lasso-glove
2.7524171220195553e-5,14,kap,binary,0.46282421331226387,15,0.013811207890606482,Model1,lasso-glove
2.7524171220195553e-5,14,npv,binary,0.9817492527861901,15,0.001462468678628198,Model1,lasso-glove
2.7524171220195553e-5,14,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model1,lasso-glove
2.7524171220195553e-5,14,precision,binary,0.3847521233943738,15,0.012742691844674905,Model1,lasso-glove
2.7524171220195553e-5,14,recall,binary,0.7879786851531605,15,0.015279365697906205,Model1,lasso-glove
2.7524171220195553e-5,14,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model1,lasso-glove
8.953687066682659e-5,4,bal_accuracy,binary,0.8454130817411871,15,0.0071009708703336895,Model1,lasso-glove
8.953687066682659e-5,4,f_meas,binary,0.5159859983235091,15,0.01244641652514446,Model1,lasso-glove
8.953687066682659e-5,4,kap,binary,0.46353556613724683,15,0.012934409946723895,Model1,lasso-glove
8.953687066682659e-5,4,npv,binary,0.9819980464177898,15,0.001382250989245465,Model1,lasso-glove
